ชนิดความบริสุทธิ์ของทอง,ราคาขาย/บาท,ราคารับซื้อ/บาท,ราคารับซื้อ/กรัม
ทองคำแท่ง 96.5%,"32,450.00","32,350.00",n/a
ทองรูปพรรณ 96.5%,"32,950.00","31,760.20","2,095.00"
ทองรูปพรรณ 99.99%,n/a,"32,912.36","2,171.00"
ทองรูปพรรณ 90%,n/a,"28,584.18","1,885.50"
ทองรูปพรรณ 80%,n/a,"25,408.16","1,676.00"
ทองรูปพรรณ 50%,n/a,"14,295.88",943.00
ทองรูปพรรณ 40%,n/a,"11,112.28",733.00
